
step 0: train loss 10.9116, val loss 10.9079
iter 2220: loss 4.0478, time 626.80ms, mfu 16.81%
iter 2230: loss 4.1193, time 627.05ms, mfu 16.83%
iter 2240: loss 4.3078, time 628.03ms, mfu 16.84%
iter 2250: loss 4.1019, time 628.50ms, mfu 16.85%
iter 2260: loss 4.1820, time 626.30ms, mfu 16.86%
iter 2270: loss 4.1886, time 628.03ms, mfu 16.87%
iter 2280: loss 4.0136, time 629.06ms, mfu 16.88%
iter 2290: loss 4.3167, time 628.87ms, mfu 16.88%
iter 2300: loss 4.1514, time 626.74ms, mfu 16.89%
iter 2310: loss 4.1879, time 626.24ms, mfu 16.90%
iter 2320: loss 3.9552, time 627.36ms, mfu 16.91%
iter 2330: loss 4.5757, time 628.98ms, mfu 16.91%
iter 2340: loss 4.1342, time 625.23ms, mfu 16.92%
iter 2350: loss 4.2215, time 627.36ms, mfu 16.93%
iter 2360: loss 4.1857, time 628.98ms, mfu 16.93%
iter 2370: loss 4.3615, time 627.69ms, mfu 16.93%
iter 2380: loss 4.3251, time 627.61ms, mfu 16.93%
iter 2390: loss 4.2940, time 627.26ms, mfu 16.93%
iter 2400: loss 4.1755, time 627.95ms, mfu 16.94%
iter 2410: loss 4.3352, time 628.74ms, mfu 16.94%
iter 2420: loss 4.3884, time 627.40ms, mfu 16.94%
iter 2430: loss 3.9341, time 626.82ms, mfu 16.94%
iter 2440: loss 3.8994, time 627.22ms, mfu 16.95%
iter 2450: loss 4.4345, time 628.11ms, mfu 16.95%
iter 2460: loss 3.9898, time 627.14ms, mfu 16.95%
iter 2470: loss 3.9196, time 627.40ms, mfu 16.95%
iter 2480: loss 4.0583, time 627.94ms, mfu 16.95%
iter 2490: loss 4.0538, time 627.08ms, mfu 16.95%
iter 2500: loss 4.0447, time 627.74ms, mfu 16.95%
iter 2510: loss 4.2905, time 626.61ms, mfu 16.96%
iter 2520: loss 4.1876, time 627.01ms, mfu 16.96%
iter 2530: loss 4.2253, time 629.05ms, mfu 16.95%
iter 2540: loss 3.9811, time 628.85ms, mfu 16.95%
iter 2550: loss 4.1681, time 627.99ms, mfu 16.95%
iter 2560: loss 4.0816, time 628.45ms, mfu 16.95%
iter 2570: loss 3.7755, time 628.30ms, mfu 16.95%
iter 2580: loss 3.9824, time 626.19ms, mfu 16.95%
iter 2590: loss 4.0203, time 627.69ms, mfu 16.95%
iter 2600: loss 3.9631, time 628.09ms, mfu 16.95%
iter 2610: loss 4.1129, time 628.28ms, mfu 16.95%
iter 2620: loss 3.7493, time 627.94ms, mfu 16.95%
iter 2630: loss 3.7551, time 627.25ms, mfu 16.95%
iter 2640: loss 4.1233, time 627.17ms, mfu 16.95%
iter 2650: loss 4.0614, time 628.38ms, mfu 16.95%
iter 2660: loss 4.0067, time 627.44ms, mfu 16.95%
iter 2670: loss 3.9775, time 628.29ms, mfu 16.95%
iter 2680: loss 3.9891, time 628.17ms, mfu 16.95%
iter 2690: loss 3.8590, time 626.89ms, mfu 16.95%
iter 2700: loss 3.9435, time 628.11ms, mfu 16.95%
iter 2710: loss 4.0902, time 627.80ms, mfu 16.95%
iter 2720: loss 4.0668, time 628.40ms, mfu 16.95%
iter 2730: loss 3.8568, time 626.30ms, mfu 16.96%
iter 2740: loss 4.0021, time 628.11ms, mfu 16.96%
iter 2750: loss 4.0399, time 629.96ms, mfu 16.95%
iter 2760: loss 4.0632, time 628.82ms, mfu 16.95%
iter 2770: loss 4.1739, time 627.58ms, mfu 16.95%
iter 2780: loss 3.9827, time 627.59ms, mfu 16.95%
iter 2790: loss 3.9518, time 627.25ms, mfu 16.95%
iter 2800: loss 4.0259, time 628.60ms, mfu 16.95%
iter 2810: loss 4.1662, time 628.11ms, mfu 16.95%
iter 2820: loss 3.6481, time 626.20ms, mfu 16.95%
iter 2830: loss 4.0335, time 628.66ms, mfu 16.95%
iter 2840: loss 3.9915, time 628.89ms, mfu 16.95%
iter 2850: loss 3.8660, time 628.36ms, mfu 16.95%
iter 2860: loss 4.1024, time 629.03ms, mfu 16.94%
iter 2870: loss 4.0992, time 628.47ms, mfu 16.94%
iter 2880: loss 4.0512, time 626.17ms, mfu 16.95%
iter 2890: loss 4.0774, time 627.30ms, mfu 16.95%
iter 2900: loss 3.8013, time 627.80ms, mfu 16.95%
iter 2910: loss 4.2641, time 628.22ms, mfu 16.95%
iter 2920: loss 3.9297, time 627.74ms, mfu 16.95%
iter 2930: loss 3.7643, time 629.92ms, mfu 16.95%
iter 2940: loss 4.0523, time 628.07ms, mfu 16.95%
iter 2950: loss 4.1658, time 627.90ms, mfu 16.95%
iter 2960: loss 4.0829, time 628.01ms, mfu 16.95%
iter 2970: loss 3.7043, time 627.97ms, mfu 16.95%
iter 2980: loss 4.0233, time 628.01ms, mfu 16.95%
iter 2990: loss 4.0605, time 627.32ms, mfu 16.95%
step 3000: train loss 3.9860, val loss 3.9906
saving checkpoint to out
iter 3000: loss 3.9399, time 8182.91ms, mfu 15.38%
iter 3010: loss 3.8835, time 628.16ms, mfu 15.54%
iter 3020: loss 3.9053, time 627.86ms, mfu 15.68%
iter 3030: loss 4.0007, time 629.24ms, mfu 15.80%
iter 3040: loss 3.9358, time 627.83ms, mfu 15.92%
iter 3050: loss 3.9559, time 629.37ms, mfu 16.02%
iter 3060: loss 3.9586, time 628.38ms, mfu 16.11%
iter 3070: loss 3.9760, time 628.76ms, mfu 16.19%
iter 3080: loss 3.9438, time 628.69ms, mfu 16.27%
iter 3090: loss 4.0673, time 627.22ms, mfu 16.34%
iter 3100: loss 3.9769, time 629.29ms, mfu 16.39%
iter 3110: loss 3.7269, time 628.41ms, mfu 16.45%
iter 3120: loss 3.7464, time 629.46ms, mfu 16.49%
iter 3130: loss 3.8064, time 629.40ms, mfu 16.54%
iter 3140: loss 4.0510, time 629.61ms, mfu 16.57%
iter 3150: loss 3.9233, time 629.35ms, mfu 16.61%
iter 3160: loss 3.9911, time 627.27ms, mfu 16.64%
iter 3170: loss 3.9562, time 628.74ms, mfu 16.67%
iter 3180: loss 3.8780, time 627.96ms, mfu 16.70%
iter 3190: loss 3.9492, time 626.88ms, mfu 16.73%
iter 3200: loss 3.9250, time 628.61ms, mfu 16.75%
iter 3210: loss 3.9628, time 628.29ms, mfu 16.77%
iter 3220: loss 4.0806, time 629.89ms, mfu 16.78%
iter 3230: loss 4.0759, time 628.32ms, mfu 16.80%
iter 3240: loss 4.1348, time 629.09ms, mfu 16.81%
iter 3250: loss 3.9376, time 627.93ms, mfu 16.82%
iter 3260: loss 3.8733, time 628.77ms, mfu 16.83%
iter 3270: loss 3.6809, time 628.36ms, mfu 16.84%
iter 3280: loss 4.0729, time 627.76ms, mfu 16.85%
iter 3290: loss 3.7404, time 628.05ms, mfu 16.86%
iter 3300: loss 4.2781, time 629.59ms, mfu 16.87%
iter 3310: loss 4.0852, time 628.88ms, mfu 16.87%
iter 3320: loss 3.7921, time 627.82ms, mfu 16.88%
iter 3330: loss 3.9483, time 629.23ms, mfu 16.88%
iter 3340: loss 3.7322, time 628.35ms, mfu 16.89%
iter 3350: loss 3.8740, time 629.31ms, mfu 16.89%
iter 3360: loss 3.9373, time 627.54ms, mfu 16.90%
iter 3370: loss 3.9071, time 628.50ms, mfu 16.90%
iter 3380: loss 4.0109, time 628.47ms, mfu 16.91%
iter 3390: loss 3.6263, time 627.27ms, mfu 16.91%
iter 3400: loss 3.8503, time 629.59ms, mfu 16.91%
iter 3410: loss 3.8642, time 628.78ms, mfu 16.91%
iter 3420: loss 3.8624, time 628.41ms, mfu 16.92%
iter 3430: loss 3.6352, time 628.80ms, mfu 16.92%
iter 3440: loss 4.1576, time 629.26ms, mfu 16.92%
iter 3450: loss 3.9226, time 629.49ms, mfu 16.92%
iter 3460: loss 3.8687, time 628.85ms, mfu 16.92%
iter 3470: loss 4.0414, time 628.01ms, mfu 16.92%
iter 3480: loss 3.8274, time 628.38ms, mfu 16.92%
iter 3490: loss 3.8406, time 628.53ms, mfu 16.92%
iter 3500: loss 3.9747, time 628.96ms, mfu 16.92%
iter 3510: loss 3.8458, time 628.21ms, mfu 16.92%
iter 3520: loss 3.8487, time 628.99ms, mfu 16.92%
iter 3530: loss 3.7182, time 628.08ms, mfu 16.93%
iter 3540: loss 4.0427, time 627.98ms, mfu 16.93%
iter 3550: loss 3.9303, time 628.06ms, mfu 16.93%
iter 3560: loss 3.8866, time 628.63ms, mfu 16.93%
iter 3570: loss 3.8289, time 628.09ms, mfu 16.93%
iter 3580: loss 3.5611, time 628.86ms, mfu 16.93%
iter 3590: loss 3.8698, time 629.01ms, mfu 16.93%
iter 3600: loss 3.9407, time 627.98ms, mfu 16.93%
iter 3610: loss 3.6453, time 628.19ms, mfu 16.93%
iter 3620: loss 3.8776, time 629.16ms, mfu 16.93%
iter 3630: loss 4.0609, time 628.96ms, mfu 16.93%
iter 3640: loss 4.0161, time 628.42ms, mfu 16.93%
iter 3650: loss 3.9081, time 628.30ms, mfu 16.93%
iter 3660: loss 3.9522, time 628.09ms, mfu 16.93%
iter 3670: loss 3.7374, time 629.07ms, mfu 16.93%
iter 3680: loss 4.0445, time 628.55ms, mfu 16.93%
iter 3690: loss 3.7800, time 628.08ms, mfu 16.93%
iter 3700: loss 3.8975, time 628.23ms, mfu 16.93%
iter 3710: loss 3.9544, time 628.21ms, mfu 16.94%
iter 3720: loss 3.9551, time 628.73ms, mfu 16.93%
iter 3730: loss 3.8515, time 628.32ms, mfu 16.94%
iter 3740: loss 3.8037, time 628.40ms, mfu 16.94%
iter 3750: loss 3.7435, time 628.91ms, mfu 16.93%
iter 3760: loss 3.8392, time 628.66ms, mfu 16.93%
iter 3770: loss 3.7061, time 628.68ms, mfu 16.93%
iter 3780: loss 3.9766, time 628.80ms, mfu 16.93%
iter 3790: loss 3.9978, time 628.57ms, mfu 16.93%
iter 3800: loss 3.8069, time 628.40ms, mfu 16.93%
iter 3810: loss 3.6829, time 629.46ms, mfu 16.93%
iter 3820: loss 3.8663, time 629.61ms, mfu 16.93%
iter 3830: loss 4.0271, time 629.35ms, mfu 16.93%
iter 3840: loss 4.0293, time 628.75ms, mfu 16.93%
iter 3850: loss 3.8277, time 628.65ms, mfu 16.93%
iter 3860: loss 3.9806, time 629.19ms, mfu 16.93%
iter 3870: loss 3.8361, time 629.14ms, mfu 16.93%
iter 3880: loss 4.0741, time 628.06ms, mfu 16.93%
iter 3890: loss 3.7824, time 628.31ms, mfu 16.93%
iter 3900: loss 3.9311, time 628.04ms, mfu 16.93%
iter 3910: loss 3.8750, time 628.33ms, mfu 16.93%
iter 3920: loss 3.8562, time 628.76ms, mfu 16.93%
iter 3930: loss 3.8909, time 628.34ms, mfu 16.93%
iter 3940: loss 3.8213, time 628.19ms, mfu 16.93%
iter 3950: loss 3.7045, time 627.92ms, mfu 16.93%
iter 3960: loss 3.9262, time 628.45ms, mfu 16.93%
iter 3970: loss 3.8932, time 629.35ms, mfu 16.93%
iter 3980: loss 4.0736, time 630.00ms, mfu 16.93%
iter 3990: loss 3.8342, time 628.32ms, mfu 16.93%
step 4000: train loss 3.8634, val loss 3.8546
saving checkpoint to out
iter 4000: loss 3.9284, time 8336.77ms, mfu 15.36%
iter 4010: loss 3.9704, time 629.22ms, mfu 15.52%
iter 4020: loss 4.0727, time 628.41ms, mfu 15.66%
iter 4030: loss 3.8472, time 628.53ms, mfu 15.79%
iter 4040: loss 3.7526, time 628.31ms, mfu 15.90%
iter 4050: loss 3.8068, time 629.45ms, mfu 16.00%
iter 4060: loss 3.9331, time 629.27ms, mfu 16.10%
iter 4070: loss 3.6525, time 633.02ms, mfu 16.17%
iter 4080: loss 3.6821, time 628.59ms, mfu 16.24%
iter 4090: loss 3.7394, time 628.52ms, mfu 16.31%
iter 4100: loss 3.9764, time 629.08ms, mfu 16.37%
iter 4110: loss 3.8753, time 628.50ms, mfu 16.43%
iter 4120: loss 3.9398, time 628.04ms, mfu 16.48%
iter 4130: loss 3.6077, time 628.84ms, mfu 16.53%
iter 4140: loss 3.5302, time 628.84ms, mfu 16.57%
iter 4150: loss 3.8163, time 629.13ms, mfu 16.60%
iter 4160: loss 4.1028, time 631.62ms, mfu 16.63%
iter 4170: loss 3.9993, time 628.78ms, mfu 16.66%
iter 4180: loss 3.8195, time 629.34ms, mfu 16.68%
iter 4190: loss 3.8850, time 630.09ms, mfu 16.70%
iter 4200: loss 3.9796, time 629.69ms, mfu 16.72%
iter 4210: loss 3.7595, time 629.27ms, mfu 16.74%
iter 4220: loss 4.0506, time 629.32ms, mfu 16.76%
iter 4230: loss 3.7661, time 628.98ms, mfu 16.78%
iter 4240: loss 3.9810, time 629.20ms, mfu 16.79%
iter 4250: loss 3.8722, time 629.68ms, mfu 16.80%
iter 4260: loss 4.0998, time 628.11ms, mfu 16.82%
iter 4270: loss 3.6865, time 629.32ms, mfu 16.82%
iter 4280: loss 3.9686, time 628.90ms, mfu 16.83%
iter 4290: loss 4.0436, time 628.65ms, mfu 16.84%
iter 4300: loss 3.8338, time 628.48ms, mfu 16.85%
iter 4310: loss 3.8043, time 629.31ms, mfu 16.86%
iter 4320: loss 3.6946, time 628.07ms, mfu 16.87%
iter 4330: loss 3.9739, time 628.41ms, mfu 16.88%
iter 4340: loss 3.7836, time 628.42ms, mfu 16.88%
iter 4350: loss 3.9157, time 628.51ms, mfu 16.89%
iter 4360: loss 3.7875, time 629.55ms, mfu 16.89%
iter 4370: loss 4.0356, time 629.69ms, mfu 16.89%
iter 4380: loss 3.8630, time 629.63ms, mfu 16.89%
iter 4390: loss 4.0947, time 628.41ms, mfu 16.90%
iter 4400: loss 3.9425, time 629.67ms, mfu 16.90%
iter 4410: loss 3.9050, time 628.37ms, mfu 16.90%
iter 4420: loss 4.0892, time 629.59ms, mfu 16.90%
iter 4430: loss 4.0389, time 628.95ms, mfu 16.90%
iter 4440: loss 3.5803, time 629.18ms, mfu 16.90%
iter 4450: loss 3.8224, time 628.30ms, mfu 16.91%
iter 4460: loss 3.7745, time 628.58ms, mfu 16.91%
